Series ID,Year,Period,Label,Value,1-Month Net Change,3-Month Net Change,6-Month Net Change,12-Month Net Change,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
APU0000717311,1981,M01,1981 Jan,2.777,-0.041,-0.276,-0.456,-0.431,-1.5,-9,-14.1,-13.4
APU0000717311,1981,M02,1981 Feb,2.595,-0.182,-0.318,-0.635,-0.663,-6.6,-10.9,-19.7,-20.3
APU0000717311,1981,M03,1981 Mar,2.557,-0.038,-0.261,-0.602,-0.691,-1.5,-9.3,-19.1,-21.3
APU0000717311,1981,M04,1981 Apr,2.562,0.005,-0.215,-0.491,-0.647,0.2,-7.7,-16.1,-20.2
APU0000717311,1981,M05,1981 May,2.538,-0.024,-0.057,-0.375,-0.662,-0.9,-2.2,-12.9,-20.7
APU0000717311,1981,M06,1981 Jun,2.517,-0.021,-0.04,-0.301,-0.664,-0.8,-1.6,-10.7,-20.9
APU0000717311,1981,M07,1981 Jul,2.512,-0.005,-0.05,-0.265,-0.721,-0.2,-2,-9.5,-22.3
APU0000717311,1981,M08,1981 Aug,2.492,-0.02,-0.046,-0.103,-0.738,-0.8,-1.8,-4,-22.8
APU0000717311,1981,M09,1981 Sep,2.46,-0.032,-0.057,-0.097,-0.699,-1.3,-2.3,-3.8,-22.1
APU0000717311,1981,M10,1981 Oct,2.451,-0.009,-0.061,-0.111,-0.602,-0.4,-2.4,-4.3,-19.7
APU0000717311,1981,M11,1981 Nov,2.408,-0.043,-0.084,-0.13,-0.505,-1.8,-3.4,-5.1,-17.3
APU0000717311,1981,M12,1981 Dec,2.457,0.049,-0.003,-0.06,-0.361,2,-0.1,-2.4,-12.8
APU0000717311,1982,M01,1982 Jan,2.475,0.018,0.024,-0.037,-0.302,0.7,1,-1.5,-10.9
APU0000717311,1982,M02,1982 Feb,2.552,0.077,0.144,0.06,-0.043,3.1,6,2.4,-1.7
APU0000717311,1982,M03,1982 Mar,2.564,0.012,0.107,0.104,0.007,0.5,4.4,4.2,0.3
APU0000717311,1982,M04,1982 Apr,2.585,0.021,0.11,0.134,0.023,0.8,4.4,5.5,0.9
APU0000717311,1982,M05,1982 May,2.567,-0.018,0.015,0.159,0.029,-0.7,0.6,6.6,1.1
APU0000717311,1982,M06,1982 Jun,2.527,-0.04,-0.037,0.07,0.01,-1.6,-1.4,2.8,0.4
APU0000717311,1982,M07,1982 Jul,2.502,-0.025,-0.083,0.027,-0.01,-1,-3.2,1.1,-0.4
APU0000717311,1982,M08,1982 Aug,2.515,0.013,-0.052,-0.037,0.023,0.5,-2,-1.4,0.9
APU0000717311,1982,M09,1982 Sep,2.517,0.002,-0.01,-0.047,0.057,0.1,-0.4,-1.8,2.3
APU0000717311,1982,M10,1982 Oct,2.5,-0.017,-0.002,-0.085,0.049,-0.7,-0.1,-3.3,2
APU0000717311,1982,M11,1982 Nov,2.481,-0.019,-0.034,-0.086,0.073,-0.8,-1.4,-3.4,3
APU0000717311,1982,M12,1982 Dec,2.501,0.02,-0.016,-0.026,0.044,0.8,-0.6,-1,1.8
APU0000717311,1983,M01,1983 Jan,2.528,0.027,0.028,0.026,0.053,1.1,1.1,1,2.1
APU0000717311,1983,M02,1983 Feb,2.519,-0.009,0.038,0.004,-0.033,-0.4,1.5,0.2,-1.3
APU0000717311,1983,M03,1983 Mar,2.478,-0.041,-0.023,-0.039,-0.086,-1.6,-0.9,-1.5,-3.4
APU0000717311,1983,M04,1983 Apr,2.466,-0.012,-0.062,-0.034,-0.119,-0.5,-2.5,-1.4,-4.6
APU0000717311,1983,M05,1983 May,2.459,-0.007,-0.06,-0.022,-0.108,-0.3,-2.4,-0.9,-4.2
APU0000717311,1983,M06,1983 Jun,2.47,0.011,-0.008,-0.031,-0.057,0.4,-0.3,-1.2,-2.3
APU0000717311,1983,M07,1983 Jul,2.454,-0.016,-0.012,-0.074,-0.048,-0.6,-0.5,-2.9,-1.9
APU0000717311,1983,M08,1983 Aug,2.451,-0.003,-0.008,-0.068,-0.064,-0.1,-0.3,-2.7,-2.5
APU0000717311,1983,M09,1983 Sep,2.438,-0.013,-0.032,-0.04,-0.079,-0.5,-1.3,-1.6,-3.1
APU0000717311,1983,M10,1983 Oct,2.432,-0.006,-0.022,-0.034,-0.068,-0.2,-0.9,-1.4,-2.7
