Series ID,Year,Period,Label,Value,1-Month Net Change,3-Month Net Change,6-Month Net Change,12-Month Net Change,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
APU000074714,1981,M01,1981 Jan,1.298,0.04,0.048,0.027,0.167,3.2,3.8,2.1,14.8
APU000074714,1981,M02,1981 Feb,1.382,0.084,0.132,0.115,0.175,6.5,10.6,9.1,14.5
APU000074714,1981,M03,1981 Mar,1.417,0.035,0.159,0.16,0.165,2.5,12.6,12.7,13.2
APU000074714,1981,M04,1981 Apr,1.412,-0.005,0.114,0.162,0.148,-0.4,8.8,13,11.7
APU000074714,1981,M05,1981 May,1.4,-0.012,0.018,0.15,0.134,-0.8,1.3,12,10.6
APU000074714,1981,M06,1981 Jun,1.391,-0.009,-0.026,0.133,0.122,-0.6,-1.8,10.6,9.6
APU000074714,1981,M07,1981 Jul,1.382,-0.009,-0.03,0.084,0.111,-0.6,-2.1,6.5,8.7
APU000074714,1981,M08,1981 Aug,1.376,-0.006,-0.024,-0.006,0.109,-0.4,-1.7,-0.4,8.6
APU000074714,1981,M09,1981 Sep,1.376,0,-0.015,-0.041,0.119,0,-1.1,-2.9,9.5
APU000074714,1981,M10,1981 Oct,1.371,-0.005,-0.011,-0.041,0.121,-0.4,-0.8,-2.9,9.7
APU000074714,1981,M11,1981 Nov,1.369,-0.002,-0.007,-0.031,0.119,-0.1,-0.5,-2.2,9.5
APU000074714,1981,M12,1981 Dec,1.365,-0.004,-0.011,-0.026,0.107,-0.3,-0.8,-1.9,8.5
APU000074714,1982,M01,1982 Jan,1.358,-0.007,-0.013,-0.024,0.06,-0.5,-0.9,-1.7,4.6
APU000074714,1982,M02,1982 Feb,1.334,-0.024,-0.035,-0.042,-0.048,-1.8,-2.6,-3.1,-3.5
APU000074714,1982,M03,1982 Mar,1.284,-0.05,-0.081,-0.092,-0.133,-3.7,-5.9,-6.7,-9.4
APU000074714,1982,M04,1982 Apr,1.225,-0.059,-0.133,-0.146,-0.187,-4.6,-9.8,-10.6,-13.2
APU000074714,1982,M05,1982 May,1.237,0.012,-0.097,-0.132,-0.163,1,-7.3,-9.6,-11.6
APU000074714,1982,M06,1982 Jun,1.309,0.072,0.025,-0.056,-0.082,5.8,1.9,-4.1,-5.9
APU000074714,1982,M07,1982 Jul,1.331,0.022,0.106,-0.027,-0.051,1.7,8.7,-2,-3.7
APU000074714,1982,M08,1982 Aug,1.323,-0.008,0.086,-0.011,-0.053,-0.6,7,-0.8,-3.9
APU000074714,1982,M09,1982 Sep,1.307,-0.016,-0.002,0.023,-0.069,-1.2,-0.2,1.8,-5
APU000074714,1982,M10,1982 Oct,1.295,-0.012,-0.036,0.07,-0.076,-0.9,-2.7,5.7,-5.5
APU000074714,1982,M11,1982 Nov,1.283,-0.012,-0.04,0.046,-0.086,-0.9,-3,3.7,-6.3
APU000074714,1982,M12,1982 Dec,1.26,-0.023,-0.047,-0.049,-0.105,-1.8,-3.6,-3.7,-7.7
APU000074714,1983,M01,1983 Jan,1.23,-0.03,-0.065,-0.101,-0.128,-2.4,-5,-7.6,-9.4
APU000074714,1983,M02,1983 Feb,1.187,-0.043,-0.096,-0.136,-0.147,-3.5,-7.5,-10.3,-11
APU000074714,1983,M03,1983 Mar,1.152,-0.035,-0.108,-0.155,-0.132,-2.9,-8.6,-11.9,-10.3
APU000074714,1983,M04,1983 Apr,1.215,0.063,-0.015,-0.08,-0.01,5.5,-1.2,-6.2,-0.8
APU000074714,1983,M05,1983 May,1.259,0.044,0.072,-0.024,0.022,3.6,6.1,-1.9,1.8
APU000074714,1983,M06,1983 Jun,1.277,0.018,0.125,0.017,-0.032,1.4,10.9,1.3,-2.4
APU000074714,1983,M07,1983 Jul,1.288,0.011,0.073,0.058,-0.043,0.9,6,4.7,-3.2
APU000074714,1983,M08,1983 Aug,1.285,-0.003,0.026,0.098,-0.038,-0.2,2.1,8.3,-2.9
APU000074714,1983,M09,1983 Sep,1.274,-0.011,-0.003,0.122,-0.033,-0.9,-0.2,10.6,-2.5
APU000074714,1983,M10,1983 Oct,1.255,-0.019,-0.033,0.04,-0.04,-1.5,-2.6,3.3,-3.1
APU000074714,1983,M11,1983 Nov,1.241,-0.014,-0.044,-0.018,-0.042,-1.1,-3.4,-1.4,-3.3
APU000074714,1983,M12,1983 Dec,1.231,-0.01,-0.043,-0.046,-0.029,-0.8,-3.4,-3.6,-2.3
APU000074714,1984,M01,1984 Jan,1.216,-0.015,-0.039,-0.072,-0.014,-1.2,-3.1,-5.6,-1.1
APU000074714,1984,M02,1984 Feb,1.209,-0.007,-0.032,-0.076,0.022,-0.6,-2.6,-5.9,1.9
APU000074714,1984,M03,1984 Mar,1.21,0.001,-0.021,-0.064,0.058,0.1,-1.7,-5,5
APU000074714,1984,M04,1984 Apr,1.227,0.017,0.011,-0.028,0.012,1.4,0.9,-2.2,1
APU000074714,1984,M05,1984 May,1.236,0.009,0.027,-0.005,-0.023,0.7,2.2,-0.4,-1.8
APU000074714,1984,M06,1984 Jun,1.229,-0.007,0.019,-0.002,-0.048,-0.6,1.6,-0.2,-3.8
APU000074714,1984,M07,1984 Jul,1.212,-0.017,-0.015,-0.004,-0.076,-1.4,-1.2,-0.3,-5.9
APU000074714,1984,M08,1984 Aug,1.196,-0.016,-0.04,-0.013,-0.089,-1.3,-3.2,-1.1,-6.9
APU000074714,1984,M09,1984 Sep,1.203,0.007,-0.026,-0.007,-0.071,0.6,-2.1,-0.6,-5.6
APU000074714,1984,M10,1984 Oct,1.209,0.006,-0.003,-0.018,-0.046,0.5,-0.2,-1.5,-3.7
APU000074714,1984,M11,1984 Nov,1.207,-0.002,0.011,-0.029,-0.034,-0.2,0.9,-2.3,-2.7
APU000074714,1984,M12,1984 Dec,1.193,-0.014,-0.01,-0.036,-0.038,-1.2,-0.8,-2.9,-3.1
APU000074714,1985,M01,1985 Jan,1.148,-0.045,-0.061,-0.064,-0.068,-3.8,-5,-5.3,-5.6
APU000074714,1985,M02,1985 Feb,1.131,-0.017,-0.076,-0.065,-0.078,-1.5,-6.3,-5.4,-6.5
APU000074714,1985,M03,1985 Mar,1.159,0.028,-0.034,-0.044,-0.051,2.5,-2.8,-3.7,-4.2
APU000074714,1985,M04,1985 Apr,1.205,0.046,0.057,-0.004,-0.022,4,5,-0.3,-1.8
APU000074714,1985,M05,1985 May,1.231,0.026,0.1,0.024,-0.005,2.2,8.8,2,-0.4
APU000074714,1985,M06,1985 Jun,1.241,0.01,0.082,0.048,0.012,0.8,7.1,4,1
APU000074714,1985,M07,1985 Jul,1.242,0.001,0.037,0.094,0.03,0.1,3.1,8.2,2.5
APU000074714,1985,M08,1985 Aug,1.229,-0.013,-0.002,0.098,0.033,-1,-0.2,8.7,2.8
APU000074714,1985,M09,1985 Sep,1.216,-0.013,-0.025,0.057,0.013,-1.1,-2,4.9,1.1
APU000074714,1985,M10,1985 Oct,1.204,-0.012,-0.038,-0.001,-0.005,-1,-3.1,-0.1,-0.4
APU000074714,1985,M11,1985 Nov,1.207,0.003,-0.022,-0.024,0,0.2,-1.8,-1.9,0
APU000074714,1985,M12,1985 Dec,1.208,0.001,-0.008,-0.033,0.015,0.1,-0.7,-2.7,1.3
APU000074714,1986,M01,1986 Jan,1.194,-0.014,-0.01,-0.048,0.046,-1.2,-0.8,-3.9,4
APU000074714,1986,M02,1986 Feb,1.12,-0.074,-0.087,-0.109,-0.011,-6.2,-7.2,-8.9,-1
APU000074714,1986,M03,1986 Mar,0.981,-0.139,-0.227,-0.235,-0.178,-12.4,-18.8,-19.3,-15.4
APU000074714,1986,M04,1986 Apr,0.888,-0.093,-0.306,-0.316,-0.317,-9.5,-25.6,-26.2,-26.3
APU000074714,1986,M05,1986 May,0.923,0.035,-0.197,-0.284,-0.308,3.9,-17.6,-23.5,-25
APU000074714,1986,M06,1986 Jun,0.955,0.032,-0.026,-0.253,-0.286,3.5,-2.7,-20.9,-23
APU000074714,1986,M07,1986 Jul,0.89,-0.065,0.002,-0.304,-0.352,-6.8,0.2,-25.5,-28.3
APU000074714,1986,M08,1986 Aug,0.843,-0.047,-0.08,-0.277,-0.386,-5.3,-8.7,-24.7,-31.4
APU000074714,1986,M09,1986 Sep,0.86,0.017,-0.095,-0.121,-0.356,2,-9.9,-12.3,-29.3
APU000074714,1986,M10,1986 Oct,0.831,-0.029,-0.059,-0.057,-0.373,-3.4,-6.6,-6.4,-31
APU000074714,1986,M11,1986 Nov,0.821,-0.01,-0.022,-0.102,-0.386,-1.2,-2.6,-11.1,-32
APU000074714,1986,M12,1986 Dec,0.823,0.002,-0.037,-0.132,-0.385,0.2,-4.3,-13.8,-31.9
APU000074714,1987,M01,1987 Jan,0.862,0.039,0.031,-0.028,-0.332,4.7,3.7,-3.1,-27.8
APU000074714,1987,M02,1987 Feb,0.905,0.043,0.084,0.062,-0.215,5,10.2,7.4,-19.2
APU000074714,1987,M03,1987 Mar,0.912,0.007,0.089,0.052,-0.069,0.8,10.8,6,-7
APU000074714,1987,M04,1987 Apr,0.934,0.022,0.072,0.103,0.046,2.4,8.4,12.4,5.2
APU000074714,1987,M05,1987 May,0.941,0.007,0.036,0.12,0.018,0.7,4,14.6,2
APU000074714,1987,M06,1987 Jun,0.958,0.017,0.046,0.135,0.003,1.8,5,16.4,0.3
APU000074714,1987,M07,1987 Jul,0.971,0.013,0.037,0.109,0.081,1.4,4,12.6,9.1
APU000074714,1987,M08,1987 Aug,0.995,0.024,0.054,0.09,0.152,2.5,5.7,9.9,18
APU000074714,1987,M09,1987 Sep,0.99,-0.005,0.032,0.078,0.13,-0.5,3.3,8.6,15.1
APU000074714,1987,M10,1987 Oct,0.976,-0.014,0.005,0.042,0.145,-1.4,0.5,4.5,17.4
APU000074714,1987,M11,1987 Nov,0.976,0,-0.019,0.035,0.155,0,-1.9,3.7,18.9
APU000074714,1987,M12,1987 Dec,0.961,-0.015,-0.029,0.003,0.138,-1.5,-2.9,0.3,16.8
