County,FIPS.code,Population,AreaSQMILES,x_lat,y_long
Anderson ,1,57741,"1,071 ",-96,30
Andrews ,3,17722,"1,501 ",-102.8,33.2
Angelina ,5,87805,802 ,-98.3,29.8
Aransas ,7,25572,252 ,-101.8,34.1
Archer ,9,8809,910 ,-100.3,35
Armstrong ,11,1879,914 ,-95.8,32.6
Atascosa ,13,48981,"1,232 ",-95.7,33.4
Austin ,15,29786,653 ,-102.6,35.4
Bailey ,17,7077,827 ,-100.5,30.9
Bandera ,19,22351,792 ,-101.8,33.2
Bastrop ,21,84761,888 ,-97.6,29.8
Baylor ,23,3581,871 ,-96.1,33.1
Bee ,25,32563,880 ,-99.2,27
Bell ,27,347833,"1,059 ",-97.6,26.5
Bexar ,29,1958578,"1,247 ",-98.7,33.2
Blanco ,31,11626,711 ,-95.9,31
Borden ,33,673,899 ,-100.3,33.2
Bosque ,35,18326,989 ,-98.4,30.3
Bowie ,37,94012,888 ,-98.7,27
Brazoria ,39,362457,"1,387 ",-100.8,35.8
Brazos ,41,222830,586 ,-98.2,32.2
Brewster ,43,9337,"6,193 ",-101.3,33.2
Briscoe ,45,1528,900 ,-96.9,29.4
Brooks ,47,7235,943 ,-97.2,28.3
Brown ,49,38053,944 ,-98.8,32.7
Burleson ,51,18011,666 ,-97.6,30.6
Burnet ,53,46804,995 ,-101.1,31.8
Caldwell ,55,42338,546 ,-98.1,31.7
Calhoun ,57,21744,512 ,-98.3,32.8
Callahan ,59,13946,899 ,-100.3,35.4
Cameron ,61,423725,906 ,-97.7,33.2
Camp ,63,12855,198 ,-102.8,34.5
Carson ,65,6032,923 ,-100.8,35.4
Cass ,67,30012,938 ,-96.3,29.9
Castro ,69,7843,898 ,-94.8,32.1
Chambers ,71,41441,599 ,-96.3,32.6
Cherokee ,73,52240,"1,052 ",-95.4,29.9
Childress ,75,7067,710 ,-93.7,30.8
Clay ,77,10421,"1,098 ",-100.9,32.3
Cochran ,79,2851,775 ,-99.3,27.8
Coke ,81,3306,899 ,-99.4,32.7
Coleman ,83,8430,"1,273 ",-96.1,31.7
Collin ,85,969603,848 ,-98.6,31.9
Collingsworth ,87,2987,919 ,-100.3,30
Colorado ,89,21232,963 ,-100.3,33.6
Comal ,91,141009,562 ,-96.5,29.6
Comanche ,93,13573,938 ,-95.6,33.1
Concho ,95,2717,992 ,-96.1,33.6
Cooke ,97,39895,874 ,-96.8,32.8
Coryell ,99,74913,"1,052 ",-94.3,32.2
Cottle ,101,1387,901 ,-95.3,32.4
Crane ,103,4740,786 ,-97.4,29.1
Crockett ,105,3564,"2,808 ",-102.3,33.6
Crosby ,107,5899,900 ,-99,31.8
Culberson ,109,2231,"3,813 ",-99.7,34.3
Dallam ,111,7208,"1,505 ",-104.2,30
Dallas ,113,2618148,880 ,-100.3,28.7
Dawson ,115,12813,902 ,-95.5,30.3
Deaf Smith ,117,18836,"1,497 ",-95.6,33.7
Delta ,119,5298,277 ,-98.7,26.6
Denton ,121,836210,888 ,-96.9,31.3
DeWitt ,123,20226,909 ,-97.2,31.6
Dickens ,125,2209,904 ,-94.8,32.5
Dimmit ,127,10418,"1,331 ",-101.9,35.4
Donley ,129,3311,930 ,-94.1,31.8
Duval ,131,11273,"1,793 ",-94.4,33.4
Eastland ,133,18411,926 ,-99.2,29.7
Ector ,135,157087,901 ,-99.7,33.2
Edwards ,137,1953,"2,120 ",-97.3,30.1
Ellis ,139,173620,940 ,-98.2,27
El Paso ,141,840410,"1,013 ",-102.6,32.7
Erath ,143,41969,"1,086 ",-97,28.8
Falls ,145,17437,769,-100.5,31.4
Fannin ,147,34446,892 ,-101.4,35.8
Fayette ,149,25272,950 ,-95.2,30.6
Fisher ,151,3880,901 ,-97.7,27.4
Floyd ,153,5855,992 ,-99.3,31.2
Foard ,155,1222,707 ,-100.8,33.6
Fort Bend ,157,764828,875 ,-95,33.2
Franklin ,159,10767,286 ,-102,32.3
Freestone ,161,19625,885 ,-100.3,34.1
Frio ,163,19600,"1,133 ",-94.8,30.8
Gaines ,165,20638,"1,502 ",-96.5,32
Galveston ,167,335036,399,-102.3,33.2
Garza ,169,6528,896 ,-98.5,27.7
Gillespie ,171,26646,"1,061 ",-98.7,34
Glasscock ,173,1348,901 ,-99.8,29.4
Goliad ,175,7562,854,-100.5,30.5
Gonzales ,177,20893,"1,068 ",-95,33
Gray ,179,22404,928 ,-97,28.1
Grayson ,181,131140,934 ,-94,30.7
Gregg ,183,123367,274 ,-101.9,35
Grimes ,185,28032,794 ,-97.7,33.7
Guadalupe ,187,159659,711,-99.9,31.3
Hale ,189,34134,"1,005 ",-101.3,34.1
Hall ,191,3071,903 ,-98.2,33.2
Hamilton ,193,8422,836 ,-98.5,28.9
Hansford ,195,5477,920 ,-99.4,30.1
Hardeman ,197,3994,695 ,-101.5,31.9
Hardin ,199,57139,894 ,-94.6,31.6
Harris ,201,4652980,"1,729 ",-98.7,29.9
Harrison ,203,66661,899 ,-103.6,31.8
Hartley ,205,5691,"1,462 ",-99.8,34
Haskell ,207,5746,903 ,-99.9,32.7
Hays ,209,214485,678 ,-102.8,34.1
Hemphill ,211,4024,910 ,-97.7,28.4
Henderson ,213,81064,874 ,-98.2,30.8
Hidalgo ,215,860661,"1,569 ",-98,30.1
Hill ,217,35852,962 ,-101.3,33.6
Hockley ,219,23088,908 ,-101.4,35
Hood ,221,58273,422 ,-101.7,34.5
Hopkins ,223,36496,785 ,-100.4,32.3
Houston ,225,23021,"1,231 ",-97.1,32
Howard ,227,36040,903 ,-103,31.9
Hudspeth ,229,4408,"4,571 ",-101.8,33.6
Hunt ,231,93872,841 ,-102.1,30.2
Hutchinson ,233,21375,887,-99.1,28.9
Irion ,235,1516,"1,052 ",-100.4,32.7
Jack ,237,8832,917 ,-96.7,33.6
Jackson ,239,14805,830 ,-100.4,29.4
Jasper ,241,35561,938,-98.9,30.3
Jeff Davis ,243,2280,"2,265 ",-97.5,28
Jefferson ,245,256299,904 ,-104.1,30.7
Jim Hogg ,247,5202,"1,136 ",-100,31.8
Jim Wells ,249,40871,865 ,-94.8,30.2
Johnson ,251,167301,729 ,-98.6,31.5
Jones ,253,19983,931 ,-100.9,32.7
Karnes ,255,15187,750 ,-102,31.4
Kaufman ,257,122883,786 ,-97.5,26.1
Kendall ,259,44026,662 ,-94.4,32.5
Kenedy ,261,417,"1,457 ",-97.6,27.7
Kent ,263,763,902 ,-99.7,33.6
Kerr ,265,51720,"1,106 ",-99.8,30.9
Kimble ,267,4410,"1,251 ",-102.3,34.5
King ,269,296,912 ,-96.4,30.2
Kinney ,271,3745,"1,364 ",-96,31.3
Kleberg ,273,31088,871 ,-100.2,34.5
Knox ,275,3710,854 ,-101.9,36.3
Lamar ,277,49587,917 ,-104.5,31.4
Lamb ,279,13210,"1,016 ",-98.1,29.2
Lampasas ,281,21207,712 ,-99.2,33.6
La Salle ,283,7584,"1,489",-94.2,31.4
Lavaca ,285,20062,970 ,-101.9,35.8
Lee ,287,17183,629 ,-97.2,33.6
Leon ,289,17243,"1,072 ",-101.2,29.9
Liberty ,291,83658,"1,160 ",-95.2,31.8
Limestone ,293,23527,909 ,-99.1,28.3
Lipscomb ,295,3378,932 ,-101,31.3
