County,FIPS.code,Population,AreaSQMILES,x_lat,y_long,,,,,,
Anderson ,1,57741,"1,071 ",-95.65251774,31.81321543,,,,,,
Andrews ,3,17722,"1,501 ",-102.6378839,32.30506283,,,,,,
Angelina ,5,87805,802 ,-94.611742,31.25475875,,,,,,
Aransas ,7,25572,252 ,-96.99258951,28.12709562,,,,,,
Archer ,9,8809,910 ,-98.68783437,33.61539176,,,,,,
Armstrong ,11,1879,914 ,-101.3572412,34.96522076,,,,,,
Atascosa ,13,48981,"1,232 ",-98.52741302,28.89418432,,,,,,
Austin ,15,29786,653 ,-96.27791829,29.88711223,,,,,,
Bailey ,17,7077,827 ,-102.8299069,34.0684915,,,,,,
Bandera ,19,22351,792 ,-99.24637282,29.74724753,,,,,,
Bastrop ,21,84761,888 ,-97.31187705,30.10353518,,,,,,
Baylor ,23,3581,871 ,-99.21351964,33.61648147,,,,,,
Bee ,25,32563,880 ,-97.74116811,28.41736675,,,,,,
Bell ,27,347833,"1,059 ",-97.47790776,31.03778267,,,,,,
Bexar ,29,1958578,"1,247 ",-98.51966309,29.44884523,,,,,,
Blanco ,31,11626,711 ,-98.39974086,30.26636128,,,,,,
Borden ,33,673,899 ,-101.4317533,32.7436916,,,,,,
Bosque ,35,18326,989 ,-97.63437613,31.90050476,,,,,,
Bowie ,37,94012,888 ,-94.42324298,33.44572786,,,,,,
Brazoria ,39,362457,"1,387 ",-95.45578479,29.19345387,,,,,,
Brazos ,41,222830,586 ,-96.3022943,30.6610425,,,,,,
Brewster ,43,9337,"6,193 ",-103.2518906,29.81205836,,,,,,
Briscoe ,45,1528,900 ,-101.2085769,34.53041048,,,,,,
Brooks ,47,7235,943 ,-98.21874127,27.0315669,,,,,,
Brown ,49,38053,944 ,-98.99989649,31.77432313,,,,,,
Burleson ,51,18011,666 ,-96.62109399,30.49246139,,,,,,
Burnet ,53,46804,995 ,-98.18252382,30.78843382,,,,,,
Caldwell ,55,42338,546 ,-97.61983479,29.83677935,,,,,,
Calhoun ,57,21744,512 ,-96.64708119,28.48966896,,,,,,
Callahan ,59,13946,899 ,-99.37359692,32.2977738,,,,,,
Cameron ,61,423725,906 ,-97.51499968,26.13847728,,,,,,
Camp ,63,12855,198 ,-94.97860185,32.97321771,,,,,,
Carson ,65,6032,923 ,-101.3542037,35.40346802,,,,,,
Cass ,67,30012,938 ,-94.34348771,33.07750446,,,,,,
Castro ,69,7843,898 ,-102.2617608,34.53000304,,,,,,
Chambers ,71,41441,599 ,-94.60891308,29.73912276,,,,,,
Cherokee ,73,52240,"1,052 ",-95.16515234,31.83695632,,,,,,
Childress ,75,7067,710 ,-100.2075664,34.52929257,,,,,,
Clay ,77,10421,"1,098 ",-98.208958,33.78379717,,,,,,
Cochran ,79,2851,775 ,-102.8285264,33.60410808,,,,,,
Coke ,81,3306,899 ,-100.5298747,31.88849293,,,,,,
Coleman ,83,8430,"1,273 ",-99.45362579,31.77329421,,,,,,
Collin ,85,969603,848 ,-96.57248871,33.18789055,,,,,,
Collingsworth ,87,2987,919 ,-100.2700733,34.96498493,,,,,,
Colorado ,89,21232,963 ,-96.52630821,29.6208542,,,,,,
Comal ,91,141009,562 ,-98.27814516,29.80816362,,,,,,
Comanche ,93,13573,938 ,-98.55841538,31.9490639,,,,,,
Concho ,95,2717,992 ,-99.86413426,31.32645211,,,,,,
Cooke ,97,39895,874 ,-97.21247642,33.638465,,,,,,
Coryell ,99,74913,"1,052 ",-97.7991883,31.39087578,,,,,,
Cottle ,101,1387,901 ,-100.2786983,34.0776571,,,,,,
Crane ,103,4740,786 ,-102.5156425,31.42846287,,,,,,
Crockett ,105,3564,"2,808 ",-101.4118364,30.72291931,,,,,,
Crosby ,107,5899,900 ,-101.2998612,33.61459873,,,,,,
Culberson ,109,2231,"3,813 ",-104.5177421,31.44709817,,,,,,
Dallam ,111,7208,"1,505 ",-102.6021647,36.27777107,,,,,,
Dallas ,113,2618148,880 ,-96.77781862,32.76653746,,,,,,
Dawson ,115,12813,902 ,-101.9476136,32.74258137,,,,,,
Deaf Smith ,117,18836,"1,497 ",-97.35666976,29.08201599,,,,,,
Delta ,119,5298,277 ,-102.6048162,34.96602014,,,,,,
Denton ,121,836210,888 ,-95.67221685,33.38623601,,,,,,
DeWitt ,123,20226,909 ,-97.11681154,33.205574,,,,,,
Dickens ,125,2209,904 ,-100.7788138,33.61663428,,,,,,
Dimmit ,127,10418,"1,331 ",-99.760574,28.42161168,,,,,,
Donley ,129,3311,930 ,-100.8140501,34.96540246,,,,,,
Duval ,131,11273,"1,793 ",-98.50889672,27.68133382,,,,,,
Eastland ,133,18411,926 ,-98.8325713,32.32739258,,,,,,
Ector ,135,157087,901 ,-102.5430907,31.86908156,,,,,,
Edwards ,137,1953,"2,120 ",-100.3048937,29.98248216,,,,,,
Ellis ,139,173620,940 ,-106.2352229,31.7686226,,,,,,
El Paso ,141,840410,"1,013 ",-96.79467417,32.34839264,,,,,,
Erath ,143,41969,"1,086 ",-98.21722756,32.23640361,,,,,,
Falls ,145,17437,769,-96.93579511,31.25317017,,,,,,
Fannin ,147,34446,892 ,-96.10656755,33.59396919,,,,,,
Fayette ,149,25272,950 ,-96.91968047,29.87683207,,,,,,
Fisher ,151,3880,901 ,-100.4019503,32.74305155,,,,,,
Floyd ,153,5855,992 ,-101.3033037,34.07239775,,,,,,
Foard ,155,1222,707 ,-99.77871109,33.97408519,,,,,,
Fort Bend ,157,764828,875 ,-95.77090562,29.52763253,,,,,,
Franklin ,159,10767,286 ,-95.21841437,33.17550691,,,,,,
Freestone ,161,19625,885 ,-96.14918535,31.70486443,,,,,,
Frio ,163,19600,"1,133 ",-99.10826004,28.86726774,,,,,,
Gaines ,165,20638,"1,502 ",-102.6351246,32.74074537,,,,,,
Galveston ,167,335036,399,-94.96474975,29.39424415,,,,,,
Garza ,169,6528,896 ,-101.2984496,33.17991074,,,,,,
Gillespie ,171,26646,"1,061 ",-98.94627245,30.31800246,,,,,,
Glasscock ,173,1348,901 ,-101.520742,31.8694238,,,,,,
Goliad ,175,7562,854,-97.42646082,28.65708563,,,,,,
Gonzales ,177,20893,"1,068 ",-97.49279927,29.45641495,,,,,,
Gray ,179,22404,928 ,-100.812475,35.40130666,,,,,,
Grayson ,181,131140,934 ,-96.67764864,33.62684371,,,,,,
Gregg ,183,123367,274 ,-94.81723694,32.48036452,,,,,,
Grimes ,185,28032,794 ,-95.98557334,30.54360689,,,,,,
Guadalupe ,187,159659,711,-97.94850308,29.58257236,,,,,,
Hale ,189,34134,"1,005 ",-101.8269082,34.07051782,,,,,,
Hall ,191,3071,903 ,-100.6809876,34.53074134,,,,,,
